"RIOT.Open","RIOT.High","RIOT.Low","RIOT.Close","RIOT.Volume","RIOT.Adjusted"
61,69.449997,59.700001,64.760002,52489500,64.760002
53.700001,56.889999,45.02,48.799999,52317000,48.799999
53.41,56.459999,50.860001,52.27,33336900,52.27
54.330002,55.889999,45.220001,45.669998,23574600,45.669998
41.990002,47.75,40.549999,43.740002,23740700,43.740002
49.040001,53.810001,46.580002,53.599998,26045400,53.599998
57,57.02,48.5,49.099998,23287700,49.099998
55.139999,55.279999,48.599998,49.57,21616300,49.57
47.400002,49,41.330002,44.290001,19960900,44.290001
44.990002,45.25,34.25,40.299999,27559900,40.299999
42.200001,43.650002,37.619999,38.98,17075200,38.98
43.950001,54,43.720001,52.16,35870800,52.16
57.5,59.330002,52.799999,56.5,35580600,56.5
57.959999,63.695,56.720001,63.310001,28561000,63.310001
58.099998,65.75,57.700001,62.810001,26495200,62.810001
62.779999,67.660004,62.710999,63.43,22351400,63.43
62,62.169998,55.700001,56.98,17882200,56.98
54.799999,65.158997,53.400002,64.739998,25473700,64.739998
63,67.849998,59.150002,60.189999,28736500,60.189999
61.029999,63.700001,59.5,60.650002,18009600,60.650002
